vehicle_reg_No,longitude,latitude
WA9451M,101.706009,2.7523
WA9451M,101.706009,2.75227
WA9451M,101.710167,2.74625
WA9451M,101.704826,2.75392
WA9451M,101.71151,2.74693
WA9451M,101.71151,2.74707
WA9451M,101.706169,2.75202
WA9451M,101.706169,2.75237
WA9451M,101.706169,2.75225
WA9451M,101.706169,2.75113
WA9451M,101.706169,2.75205
WA9451M,101.706169,2.75203
WA9451M,101.706169,2.75223
WA9451M,101.709511,2.74585
WA9451M,101.71167,2.74725
WA9451M,101.71167,2.74717
WA9451M,101.706329,2.7522
WA9451M,101.71283,2.74853
WB3150B,101.705833,2.75212
WB3150B,101.705833,2.75208
WB3150B,101.709991,2.74523
WB3150B,101.707497,2.74908
WB3150B,101.705498,2.75172
WB3150B,101.706841,2.75083
WB3150B,101.710999,2.74595
WB3150B,101.710999,2.74607
WB3150B,101.708839,2.74707
WB3150B,101.705658,2.7515
WB3150B,101.709,2.74773
WB3150B,101.709343,2.74715
WB3150B,101.712341,2.74803
WB3150B,101.70916,2.74738
WB3150B,101.712502,2.7484
WB3150B,101.712502,2.74823
WB3150B,101.712502,2.74807
WB3150B,101.712502,2.74788
WB3150B,101.712502,2.74875
WB3150B,101.712158,2.7479
WB3150B,101.712158,2.74747
WB3150B,101.710503,2.74632
WB3150B,101.710503,2.74637
WB3150B,101.708504,2.7478
WB3150B,101.712662,2.74875
WB3150B,101.712662,2.7484
WB3150B,101.712662,2.74782
WB3150B,101.712662,2.74822
WB3150B,101.712662,2.7488
WB3150B,101.712662,2.7482
WB3150B,101.712662,2.74785
WB3150B,101.706009,2.7524
WB3150B,101.706009,2.75197
WB3150B,101.706009,2.75205
WB3150B,101.706009,2.75123
WB3150B,101.710823,2.74578
WB3150B,101.710167,2.74623
WB3150B,101.708168,2.74903
WB3150B,101.71151,2.74715
WB3150B,101.71151,2.74707
WB3150B,101.706169,2.75235
WB3150B,101.709511,2.7459
WB3150B,101.709511,2.74573
WB3150B,101.711327,2.74698
WB3150B,101.708328,2.74785
WB3150B,101.71167,2.74708
WB3150B,101.706329,2.75182
WB3150B,101.70649,2.75168
WB3150B,101.71283,2.74855
WB3150B,101.71183,2.74722
WB3642M,101.705833,2.75203
WB3642M,101.705833,2.75207
WB3642M,101.705833,2.75223
WB3642M,101.705833,2.75222
WB3642M,101.705833,2.75227
WB3642M,101.705833,2.75218
WB3642M,101.705833,2.7522
WB3642M,101.705833,2.75215
WB3642M,101.705833,2.75225
WB3642M,101.705833,2.75203
WB3642M,101.705833,2.75227
WB3642M,101.705833,2.75258
WB3642M,101.705833,2.75232
WB3642M,101.705833,2.75223
WB3642M,101.705833,2.75217
WB3642M,101.705833,2.75202
WB3642M,101.705833,2.75222
WB3642M,101.705833,2.75252
WB3642M,101.705833,2.7523
WB3642M,101.705833,2.75248
WB3642M,101.705833,2.75218
WB3642M,101.705833,2.7523
WB3642M,101.705833,2.7519
WB3642M,101.705833,2.75235
WB3642M,101.705833,2.75228
WB3642M,101.705833,2.7523
WB3642M,101.705833,2.7525
WB3642M,101.705833,2.75203
WB3642M,101.705833,2.75217
WB3642M,101.705833,2.75217
WB3642M,101.705833,2.75225
WB3642M,101.705833,2.75205
WB3642M,101.705833,2.75205
WB3642M,101.705833,2.75208
WB3642M,101.705833,2.75217
